Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
06/Oct/2019 03:58:43,RockBLOCK 15994,MO,20382e362c2038353331322c20313432382c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.13645,-115.2155"," 8.6, 85312, 1428,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 03:55:32,RockBLOCK 15994,MO,20382e302c2038353331312c20313432382c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.13645,-115.2155"," 8.0, 85311, 1428,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 03:49:57,RockBLOCK 15994,MO,20362e382c2038353331312c20313432382c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.13645,-115.2155"," 6.8, 85311, 1428,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 03:46:46,RockBLOCK 15994,MO,20352e392c2038353331342c20313432372c202033372e3134342c2d3131352e3236322c20313531302c302c30,"37.14686666666667,-115.27545"," 5.9, 85314, 1427,  37.144,-115.262, 1510,0,0",45,1
06/Oct/2019 03:41:09,RockBLOCK 15994,MO,20342e312c2038353330342c20313432382c202033372e3134342c2d3131352e3236322c20313531312c302c30,"37.09843333333333,-115.25623333333333"," 4.1, 85304, 1428,  37.144,-115.262, 1511,0,0",45,1
06/Oct/2019 03:37:58,RockBLOCK 15994,MO,20322e392c2038353330362c20313432382c202033372e3134342c2d3131352e3236322c20313531312c302c30,"37.14686666666667,-115.27545"," 2.9, 85306, 1428,  37.144,-115.262, 1511,0,0",45,1
06/Oct/2019 03:34:38,RockBLOCK 15994,MO,20312e342c2038353330332c20313432382c202033372e3134342c2d3131352e3236322c20313531322c302c30,"37.14686666666667,-115.27545"," 1.4, 85303, 1428,  37.144,-115.262, 1512,0,0",45,1
06/Oct/2019 03:31:26,RockBLOCK 15994,MO,2d302e342c2038353330312c20313432392c202033372e3134342c2d3131352e3236322c20313531312c302c30,"37.13645,-115.2155","-0.4, 85301, 1429,  37.144,-115.262, 1511,0,0",45,1
06/Oct/2019 03:28:18,RockBLOCK 15994,MO,2d322e392c2038353331302c20313432382c202033372e3134342c2d3131352e3236322c20313531312c302c30,"37.14686666666667,-115.27545","-2.9, 85310, 1428,  37.144,-115.262, 1511,0,0",45,1
06/Oct/2019 03:23:18,RockBLOCK 15994,MO,2d362e362c2038313638352c20313738312c202033372e3133382c2d3131352e3236392c20313932382c302c30,"37.14686666666667,-115.27545","-6.6, 81685, 1781,  37.138,-115.269, 1928,0,0",45,1
06/Oct/2019 03:20:05,RockBLOCK 15994,MO,2d382e332c2037383534352c20323039372c202033372e3133352c2d3131352e3237372c20323235322c302c30,"37.1756,-115.27545","-8.3, 78545, 2097,  37.135,-115.277, 2252,0,0",45,1
06/Oct/2019 03:16:51,RockBLOCK 15994,MO,2d392e382c2037353539372c20323430332c202033372e3133362c2d3131352e3238332c20323538352c302c30,"37.14686666666667,-115.27545","-9.8, 75597, 2403,  37.136,-115.283, 2585,0,0",45,1
06/Oct/2019 03:13:41,RockBLOCK 15994,MO,2d31312e322c2037323632382c20323732322c202033372e3134312c2d3131352e3238392c20323931302c302c30,"37.09843333333333,-115.25623333333333","-11.2, 72628, 2722,  37.141,-115.289, 2910,0,0",46,1
06/Oct/2019 03:10:30,RockBLOCK 15994,MO,2d31322e372c2037303330302c20323937392c202033372e3135332c2d3131352e3330312c20333135342c302c30,"37.18598333333333,-115.33545","-12.7, 70300, 2979,  37.153,-115.301, 3154,0,0",46,1
06/Oct/2019 03:07:27,RockBLOCK 15994,MO,2d31342e342c2036383430352c20333139332c202033372e3137312c2d3131352e3332302c20333430342c302c30,"37.14791666666667,-115.37616666666666","-14.4, 68405, 3193,  37.171,-115.320, 3404,0,0",46,1
06/Oct/2019 03:04:17,RockBLOCK 15994,MO,2d31362e312c2036353731352c20333530362c202033372e3138332c2d3131352e3333392c20333738362c302c30,"37.17665,-115.37616666666666","-16.1, 65715, 3506,  37.183,-115.339, 3786,0,0",46,1
06/Oct/2019 03:01:06,RockBLOCK 15994,MO,2d31372e382c2036323938382c20333833342c202033372e3139312c2d3131352e3335352c20343131342c302c30,"37.18873333333333,-115.63775","-17.8, 62988, 3834,  37.191,-115.355, 4114,0,0",46,1
